Marktleistung,Verrechnungsbetrag,Periode,year
Arbeitsplatz Software Schale 2,42.0,2021.01,2018
Arbeitsplatz Software Schale 2,5432.0,2021.01,2018
Arbeitsplatz Software Schale 2,1197.0,2021.01,2018
Arbeitsplatz Software Schale 2,2925.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Secure Messaging Extern,24.0,2021.01,2018
Arbeitsplatz Software Schale 3,365.0,2021.01,2018
Arbeitsplatz Software Schale 2,253400.0,2021.01,2018
Arbeitsplatz Software Schale 2,44954.0,2021.01,2018
Arbeitsplatz Software Schale 2,266.0,2021.01,2018
Arbeitsplatz Software Schale 2,415.0,2021.01,2018
Arbeitsplatz Software Schale 2,8564.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,168392.0,2021.01,2018
Arbeitsplatz Software Schale 2,184.0,2021.01,2018
Arbeitsplatz Software Schale 2,532.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,48146.0,2021.01,2018
Arbeitsplatz Software Schale 2,1596.0,2021.01,2018
Arbeitsplatz Software Schale 2,20025.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,76.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,43092.0,2021.01,2018
Arbeitsplatz Software Schale 2,10773.0,2021.01,2018
Secure Messaging Extern,1845.0,2021.01,2018
Secure Messaging Extern,3.0,2021.01,2018
Secure Messaging Extern,205.0,2021.01,2018
Secure Messaging Extern,3372.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,299350.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,114800.0,2021.01,2018
Arbeitsplatz Software Schale 2,21416.0,2021.01,2018
Arbeitsplatz Software Schale 2,45.0,2021.01,2018
Arbeitsplatz Software Schale 2,1197.0,2021.01,2018
Arbeitsplatz Software Schale 2,4123.0,2021.01,2018
Arbeitsplatz Software Schale 2,120.0,2021.01,2018
Arbeitsplatz Software Schale 2,55666.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,134442.0,2021.01,2018
Arbeitsplatz Software Schale 2,322.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Arbeitsplatz Software Schale 2,2115.0,2021.01,2018
Arbeitsplatz Software Schale 2,125.0,2021.01,2018
Arbeitsplatz Software Schale 2,216.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,133.0,2021.01,2018
Arbeitsplatz Software Schale 2,640.0,2021.01,2018
Arbeitsplatz Software Schale 2,1729.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,3.0,2021.01,2018
Secure Messaging Extern,18.0,2021.01,2018
Arbeitsplatz Software Schale 3,75.0,2021.01,2018
Arbeitsplatz Software Schale 3,425.0,2021.01,2018
Arbeitsplatz Software Schale 3,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,325.0,2021.01,2018
Arbeitsplatz Software Schale 3,625.0,2021.01,2018
Arbeitsplatz Software Schale 3,290.0,2021.01,2018
Arbeitsplatz Software Schale 3,140650.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Internet,418.0,2021.01,2018
Internet,28.0,2021.01,2018
Internet,38.0,2021.01,2018
RAS-Wartung,132000.0,2021.01,2018
Arbeitsplatz Software Schale 2,42.0,2021.01,2018
Arbeitsplatz Software Schale 2,798.0,2021.01,2018
Arbeitsplatz Software Schale 2,1358.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 3,675.0,2021.01,2018
Arbeitsplatz Software Schale 2,245.0,2021.01,2018
Arbeitsplatz Software Schale 2,5.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,2261.0,2021.01,2018
Arbeitsplatz Software Schale 2,399.0,2021.01,2018
Arbeitsplatz Software Schale 2,135.0,2021.01,2018
Arbeitsplatz Software Schale 2,4.0,2021.01,2018
Arbeitsplatz Software Schale 2,665.0,2021.01,2018
Secure Messaging Extern,164.0,2021.01,2018
Secure Messaging Extern,9.0,2021.01,2018
Secure Messaging Extern,3.0,2021.01,2018
Arbeitsplatz Software Schale 3,2785.0,2021.01,2018
Software Schale 3a,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Secure Messaging Extern,0.0,2021.01,2018
Internet,38.0,2021.01,2018
Arbeitsplatz Software Schale 2,298900.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,0.0,2021.01,2018
Arbeitsplatz Software Schale 2,2128.0,2021.01,2018
Arbeitsplatz Software Schale 2,525.0,2021.01,2018
Arbeitsplatz Software Schale 2,19269.0,2021.01,2018
