item_A,item_B,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
Digital Asset Management SD,Digital Asset Management SD,492,0.03390297684674752,1542,0.1062568908489526,1542,0.1062568908489526,0.31906614785992216,0.31906614785992216,3.0027807637763884
Software Schale 3a,Software Schale 3a,1142,0.07869349503858876,2790,0.19225468577728777,2790,0.19225468577728777,0.40931899641577063,0.40931899641577063,2.1290456186328544
Arbeitsplatz Software Schale 3,Arbeitsplatz Software Schale 3,7030,0.48442668136714445,10767,0.7419377067254685,10767,0.7419377067254685,0.6529209621993127,0.6529209621993127,0.8800212690105347
Secure Messaging Extern,Secure Messaging Extern,1364,0.09399117971334069,4753,0.3275220507166483,4753,0.3275220507166483,0.28697664632863457,0.28697664632863457,0.8762055736421511
Secure Messaging Extern,Arbeitsplatz Software Schale 3,2862,0.19721609702315326,4753,0.3275220507166483,10767,0.7419377067254685,0.602146013044393,0.2658122039565339,0.8115856730101451
BWL BI: Business Intelligence,BWL BI: Business Intelligence,308,0.021223814773980155,2559,0.17633682469680265,2559,0.17633682469680265,0.12035951543571707,0.12035951543571707,0.682554626027013
Digital Asset Management SD,Internet,192,0.013230429988974642,1542,0.1062568908489526,3589,0.24731256890848952,0.1245136186770428,0.053496795764837006,0.5034666019061703
Digital Asset Management SD,Multifunktionsgeräte,256,0.017640573318632856,1542,0.1062568908489526,5846,0.40283902976846747,0.16601815823605706,0.04379062606910708,0.4121203408008314
BWL IAM: Identity und Access Management,BWL IAM: Identity und Access Management,779,0.053679713340683576,5418,0.37334619625137816,5418,0.37334619625137816,0.14377999261720192,0.14377999261720192,0.3851117114914792
Digital Asset Management SD,Mobile Abo Voice und Data,320,0.022050716648291068,1542,0.1062568908489526,7910,0.5450661521499449,0.20752269779507132,0.0404551201011378,0.3807293793175821
Software Schale 3a,Internet,204,0.014057331863285557,2790,0.19225468577728777,3589,0.24731256890848952,0.07311827956989247,0.05684034550013932,0.2956512881354917
Digital Asset Management SD,Arbeitsplatz Software Schale 2,1088,0.07497243660418963,1542,0.1062568908489526,37637,2.5935088202866594,0.7055771725032425,0.02890772378244812,0.27205505027943394
UCC Gruppen-Zusatzservices,UCC Gruppen-Zusatzservices,192,0.013230429988974642,3218,0.22174751929437705,3218,0.22174751929437705,0.05966438781852083,0.05966438781852083,0.26906451088327354
Internet,Internet,221,0.01522877618522602,3589,0.24731256890848952,3589,0.24731256890848952,0.06157704095848426,0.06157704095848426,0.24898468052090375
Mobile Abo Voice und Data,Mobile Abo Voice und Data,973,0.06704796030871003,7910,0.5450661521499449,7910,0.5450661521499449,0.12300884955752212,0.12300884955752212,0.225676918429679
Mobile Abo Voice und Data,Mobile Nutzung,248,0.017089305402425578,7910,0.5450661521499449,2030,0.13988423373759648,0.03135271807838179,0.12216748768472906,0.22413332253865842
